, Are there abandoned cars in the neighborhood? How many do you see? ,Are any commercial/residential buildings being renovated?,Are private security guards visible?,Census Tract,"Full Address of Block Face in Image #1 (Street Number, Street Name, City, State, Zip Code). E.g.: 2128 Oxford Street, Berkeley, CA, 94704.","Full Address of Block Face in Image #2 (Street Number, Street Name, City, State, Zip Code). E.g.: 2128 Oxford Street, Berkeley, CA, 94704.","Full Address of Block Face in Image #3 (Street Number, Street Name, City, State, Zip Code). E.g.: 2128 Oxford Street, Berkeley, CA, 94704.","Full Address of Block Face in Image #4 (Street Number, Street Name, City, State, Zip Code). E.g.: 2128 Oxford Street, Berkeley, CA, 94704.","Full Address of Block Face in Image #5 (Street Number, Street Name, City, State, Zip Code). E.g.: 2128 Oxford Street, Berkeley, CA, 94704.",Image #1,Image #1 coordinates,Image #2,Image #2 coordinates,Image #3,Image #3 coordinates,Image #4,Image #4 coordinates,Image #5,Image #5 coordinates,Is there a police officer visible? ,"Is there graffiti or evidence of graffiti that has been painted over on buildings, signs, or walls? (Questions 22-23)",Is there public transportation available in the block face? ,"On a scale of 1 - 4, where 1 is ""No fencing"" and 4 is ""High mesh fencing with barbed wire or spiked tops"", is there fencing and what kind? (includes all property)","On a scale of 1 - 4, where 1 is ""Very well kept / good condition"" and 4 is ""Poor / badly deteriorated condition"", in general, how would you rate the condition of buildings on the block face? (includes residential buildings, recreational facilities, manufacturing plants, business / industrial headquarters, etc)","On a scale of 1 - 5, where 1 is ""None"" and 5 is ""A Lot"",  how many cigarette or cigar butts or discarded cigarette packages  are on the sidewalk or in the gutters? ","On a scale of 1 - 5, where 1 is ""None"" and 5 is ""A Lot"",  how many condoms are present on the sidewalk, in the gutters, or street of block face? ","On a scale of 1 - 5, where 1 is ""None"" and 5 is ""A Lot"", how many empty beer or liquor bottles are visible in streets, yards, or alleys? ","On a scale of 1 - 5, where 1 is ""None"" and 5 is ""A Lot"", how much garbage, litter, or broken glass in the street or on the sidewalks? ","On a scale of 1-3, where 1 is ""Few or none"" and 3 is a ""Most/all of it"", how many trees are linking the street of the block face? ","On a scale of 1-5 where 1 is ""Friendly Responses / Greetings / Helpful"" and 5 is ""Treated with Suspicion"", How were you regarded by the people in the block face?",Other thoughts or comments for Image #1,Other thoughts or comments for Image #2,Other thoughts or comments for Image #3,Other thoughts or comments for Image #4,Other thoughts or comments for Image #5,Timestamp,Unnamed: 0,Unnamed: 0.1,What kinds of establishments are there on the block face? Select all that apply.
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
1,0.0,No,No,4028.0,"1633 San Pablo Ave, Oakland, CA","Touraine Hotel 1502-1583 Clay Street Oakland, CA",Cape & Cowl Restaurant.  1602 Clay Street Oakland CA,,,https://drive.google.com/open?id=1F2vSKuf4hRQz4j6AJqv4s5zm1O4FvM13,"[37.8431445, -122.283849]",https://drive.google.com/open?id=1Zd2LzopzPuDkTa5DaQ2PSVcaLt-ZoDIB,"(37.8087183, -122.2715003)",https://drive.google.com/open?id=1u9fX5SCo4VrxB0A3J-dH0ueIYPWcd9Bx,"(37.8087183, -122.2715003)",,,,,No,Yes,No,2.0,2.0,3.0,1.0,1.0,3.0,2.0,2.0,I found it interesting because the man was very detailed and looked extremely realistic so it caught my attention. I feel that it emphasizes the importance of firefighters in the city of Oakland. ,"This building was intriguing because the architecture of this building seems old, so it stood out from the rest of the buildings on this block. At first glance, you notice that the sign says that it is a hotel, though when you take a look at the windows, it seems like it has become occupied by permanent residents. ","This picture caught my attention because of the political signs, “Oakland Stands United Against Hate” and “March for Our Lives”
For me personally, signs like these touch my heart because I feel that it is important to stand together in the Bay Area against racism and discrimination, as it has become more evident with the recent political climate. I was born and raised in the Bay Area and it makes me proud when people stand for what is right.  ",,,10/21/2018 22:08:57,,1.0,"Eating places/restaurants, Professional offices (doctor dentist lawyer accountant real estate)"
2,0.0,Yes,No,4229.0,"2150 Channing Way, Berkeley, CA, 94704","Channing Way and Shattuck Ave, Berkeley, CA, 94704","2344 Fulton St, Berkeley, CA, 94704","Channing Way and Fulton St, Berkeley, CA, 94704","2121 Channing Way, Berkeley, CA, 94704",https://drive.google.com/open?id=1t7Cm2UkrM467FxsdfYNLc980RShLq1J2,"[37.8658887573699, -122.266275305354]",https://drive.google.com/open?id=1-Kz4-Fbk5G7w39A1Vwu6nMLzvYKMJFGM,"(37.8678899, -122.269247)",https://drive.google.com/open?id=1zjA9f2t64BX0MA9Taz4foCWXRD9LvG2C,"[37.8666288180719, -122.265876910725]",https://drive.google.com/open?id=1ZGfWt-nuNBqy_m9wLT_QvnDlrJEviI5W,"(37.8678899, -122.269247)",https://drive.google.com/open?id=1f2JyD7z6fSZCO6vqtIlaWvdVyn-i5ZsW,"[37.866019739311, -122.266542125136]",No,Yes,Yes,2.0,2.0,2.0,1.0,2.0,2.0,2.0,4.0,I found this graffiti on a wall in the parking lot of a residential building.,There is a Ford Bike Station and it is almost full.,This is a house for Cal's track and field team.,"Someone put a sticker saying ""eating animals"" on the stop sign, so it seems like ""STOP EATING ANIMALS.""",There is a Buddhist Temple which shows the diversity of the neighborhood. ,10/21/2018 22:10:14,,2.0,"Eating places/restaurants, Professional offices (doctor dentist lawyer accountant real estate)"
3,0.0,No,No,4006.0,5634 Shattuck Ave. ,5699 Shattuck Ave. ,608 Shattuck Ave. ,,,https://drive.google.com/open?id=1K2U0ccdwjWB5MMC9bbNyA0bJlCxCE7UB,"(37.8419909, -122.2648882)",https://drive.google.com/open?id=1ON0rVTsybNXEBRBYR5JPrYhdot7_MYP4,"(37.8419909, -122.2648882)",https://drive.google.com/open?id=13vvO_O3GiEu0rzlrpIhbiMHz_bRZsb-9,"[35.130098959596, -119.460902121212]",,,,,Yes,Yes,Yes,2.0,2.0,1.0,1.0,1.0,2.0,2.0,4.0,"This art shop looked out of place next to the neighborhood, especially right across from the liquor store. 
","This was the only apparent property that was for sale on the block. It was boarded up on one side with bits of graffiti scribbled over the walls. A door had graffiti on it but was painted over. 
","The side of the block near Shattuck was more dilapidated than the rest of the block and were more likely to have bars on windows.
",,,10/21/2018 22:23:08,,3.0,Liquor stores or Marijuana Dispensaries
4,1.0,Yes,No,4224.0,"2067 University Ave, Berkeley, CA, 94704.","2067-2071 University Ave, Berkeley, CA, 94704.","2011 Berkeley Way, Berkeley, CA, 94704.","2016 Berkeley Way, Berkeley, CA, 94704.","2005 Berkeley Way, Berkeley, CA, 94704.",https://drive.google.com/open?id=1bC5tf0RrhU8ucWutTbwSA8Cbs91ePyhx,"[37.8720195886659, -122.269816641442]",https://drive.google.com/open?id=1lq2-AA8zbS9USxwmhTY_sdSbcBM5wPhu,"[37.8720195886659, -122.269816641442]",https://drive.google.com/open?id=1XZ7O9Iv-vJlp0KGiAO9DNACW2kGHMSwe,"[37.8728409227947, -122.270248811613]",https://drive.google.com/open?id=1xAhyRXCveyHCQLoWGKEjyEzODs2v7vjx,"[37.8726479989409, -122.2704598844]",https://drive.google.com/open?id=1IRztM7ZX4HzLNUhHrLboa2Uy1m-Xr8uo,"[37.8728723, -122.2704417]",No,No,Yes,3.0,2.0,2.0,1.0,3.0,3.0,2.0,3.0,"It seems that the wall was not designed for locals to post signs, but it had become such a place since many signs were attached there.",There were groups of homeless people outside the restaurants whose belongings almost occupied  the street.,"There are No-parking signs on the fence, but several cars were still parked there. Besides, there were many parking spaces in the parking lot nearby.",There is a large graffiti on the wall of the parking lot which was quite conspicuous when we passed by.,The fence and iron gate shows that crimes may happen sometimes?,10/22/2018 0:01:58,,4.0,"Bars and alcoholic beverage services, Eating places/restaurants, Fast food or take-out places, Liquor stores or Marijuana Dispensaries, Warehouses"
5,0.0,No,No,4031.0,"535 8th St, Oakland, CA, 94607","517 8th St, Oakland, CA, 94607","530 8th St, Oakland, CA, 94607","810 Clay St, Oakland, CA 94607","512 8th St, Oakland, CA 94607",https://drive.google.com/open?id=1DAEeW4g8askpmgbaR8JXlkYzaij7yJQK,"[37.7964811, -122.2644011]",https://drive.google.com/open?id=1HNYxCgjW-eQQqQFPjCzhG1YltpIexWgK,"[37.7964811, -122.2644011]",https://drive.google.com/open?id=1kyhPjq_yANAlj951QKecJ-pAWMKWi3Go,"[37.8009167156494, -122.275402395618]",https://drive.google.com/open?id=147w7g4FMLP4X8cjC-QxD-xVE8Yk_I9Wb,"[37.801272625156, -122.276025874901]",https://drive.google.com/open?id=177FjcfjP9mOJx7GkLWvsjwh9AKG7GfjX,"[37.8008494265101, -122.275235462283]",No,Yes,No,1.0,2.0,3.0,1.0,1.0,3.0,1.0,2.0,"There were a few of these green dumpsters throughout the block. All of them had different ""tagging"" on them. I also thought it was interesting that there was a lot of trash on the curbs of the street, but none of the dumpsters seemed full.","There were some ""pay and display"" parking ticket machines like this on the block. The street parking was also filled up during the time I was there, so it seems that this area experiences a good number of visitors. However, I did see some people park their cars here and then walk away to a different block that seemed to have more bars and fancier-looking storefronts. ","This was one of four buildings that seemed abandoned/empty to me on this block (the one next to this had cardboard covering the windows from the inside). Both had some light ""tagging"" on the windows. This building in particular has a ""for lease"" sign on it. ","I took a picture of this truck because it seemed like someone was using it as storage space for their things. It seems like an old truck, but I'm not sure if I would classify it as ""abandoned"". There was also a lot of cigarette butts on the ground.  ","I was really surprised to find a temple on this block because it wasn't something I was expecting to find in this area. It seems to be a Buddhist temple because I also saw a small shrine to place incense sticks on the sidewalk, across the front doors. There were a few posters with Chinese descriptions on the door as well. Some of the buildings on this street also had signs written in Chinese.   ",10/22/2018 0:08:49,,5.0,"Bodega deli corner-store convenience store, Eating places/restaurants, Payday lenders check cashers or pawn shops, Supermarkets/grocery stores"
6,0.0,Yes,Yes,4239.01,"3033 Shattuck Ave, Berkeley, CA 94705","3045 Shattuck Ave, Berkeley, CA 94705","3051 Shattuck Ave, Berkeley, CA 94705","3028 Shattuck Ave, Berkeley, CA 94705","3040 Shattuck Ave, Berkeley, CA 92405",https://drive.google.com/open?id=1J7FBN9UWvZIhi2aFFG18yyqbJgDqFozu,"[37.8540256666667, -122.266213]",https://drive.google.com/open?id=1CSHGT6G4TayqlTNRyS4JhmTgJrTEMWrf,"[37.8536801, -122.266042711164]",https://drive.google.com/open?id=12aeAsa3F1uLPsasS1ppCikxJ5ax_s85V,"[37.8536181290323, -122.266159419355]",https://drive.google.com/open?id=1UxrYJd9YcdFyLSvxUa_FhYGOwPBvsj3k,"[37.8541573333333, -122.266228]",https://drive.google.com/open?id=1fpi2WbAMu9LVXLBEzs0sIlDrvWl8YNCZ,"[37.8537052419355, -122.26617166129]",No,No,Yes,1.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,View from the corner of Essex and Shattuck,View facing Shattuck Ave,Down Shattuck Ave,Residential house of Shattuck Ave,Shattuck Ave residences,10/22/2018 0:09:49,,6.0,"Bars and alcoholic beverage services, Professional offices (doctor dentist lawyer accountant real estate)"
7,1.0,No,No,4027.0,"2174 Brush St  Oakland, California  94612","2174 Brush St  Oakland, California  94612","2174 Brush St  Oakland, California  94612","2174 Brush St  Oakland, California  94612","2174 Brush St  Oakland, California  94612",https://drive.google.com/open?id=1E4SxFgUUjtaRxjKp01bKNctUwvI2GfOf,"[37.8121013877551, -122.275144755102]",https://drive.google.com/open?id=1VrNGa3B4pUpf8YzwbY1khaTLUdb7qkPs,"[37.8121013877551, -122.275144755102]",https://drive.google.com/open?id=1bs0bU6-uBOcO4dlRqlYxgFm5z8vH5Qju,"[37.8121013877551, -122.275144755102]",https://drive.google.com/open?id=1apZxUe144jLiZ0q-W68E9idAsfPw4pE5,"[37.8121013877551, -122.275144755102]",https://drive.google.com/open?id=1qs7c1Oc4cf6Vf7bb6Vg1ykohgX8IKku5,"[37.8121013877551, -122.275144755102]",No,Yes,Yes,4.0,4.0,4.0,2.0,4.0,4.0,2.0,4.0,Run down warehouse with razor wire fencing ,"Run down shed, that was tagged ",Tagged Utility monitor ,Trash on Street ,Political mural painting ,10/22/2018 10:52:35,,7.0,"Bars and alcoholic beverage services, Bodega deli corner-store convenience store, Liquor stores or Marijuana Dispensaries, Manufacturing, Warehouses"
8,1.0,Yes,No,4014.0,"3236 Market St, Oakland, CA 94608","3233 Market st. Oakland, CA 94609","3233 Market st. Oakland, CA 94609","3233 Market St. Oakland, CA 94609","3208 Market St. Oakland, CA, 94608",https://drive.google.com/open?id=15opG7RDvlqB_NgV3lwquv96t5rMeYY9m,"[37.8227219183673, -122.275805489796]",https://drive.google.com/open?id=1joHLdYLrug5Au5-Y-f2TIp8RboB9rBqU,"[37.8227030918367, -122.27581044898]",https://drive.google.com/open?id=1Bmi7gdFufMI8IiXvjwFvqYmlC9C_GA3o,"[37.8227030918367, -122.27581044898]",https://drive.google.com/open?id=1Vx_AGyutH115vwcdZNqYLUawPxQt5uWX,"[37.8227030918367, -122.27581044898]",https://drive.google.com/open?id=1E03N6JmEN1i8NSsQ4JCCRIBvtSjskCMp,"[37.8225462040816, -122.27585177551]",Yes,Yes,Yes,3.0,3.0,2.0,1.0,1.0,4.0,1.0,3.0,"The current state of the road. The pavement appears dark and recently paved, lane lines and crosswalks are replaced with messy spray paint guidelines.",Tagging on the face of the trashcan. The green face appears to have been covered up before.,The mural on the west Oakland Youth Center.,"A wall leading to a small play area for the youth center. A basketball hoop lays on the other sign, with a no trespassing sign on the wall.","An empty lot sits at the end of the block, surrounded by a fence. Graffiti can be seen in the background, and trash lays on the lawn next to the sidewalk. ",10/22/2018 12:00:25,,8.0,"Community center, Playgrounds"
9,0.0,No,No,4239.01,"2001 Emerson St Berkeley, CA 94703","2001 Emerson St Berkeley, CA 94703","2001 Emerson St Berkeley, CA 94703",,,https://drive.google.com/open?id=1yW4Qijl3MLszoxDCzQLBxbjRsgAwunAB,"[37.854305, -122.269028]",https://drive.google.com/open?id=1j_sjRjbQrF8FvRCp46RTd8JDmg-UZbSv,"[37.854305, -122.269028]",https://drive.google.com/open?id=1QaARrMumfYKbdY1DbEURAokx4qDyljiR,"[37.854305, -122.269028]",,,,,No,Yes,Yes,2.0,2.0,1.0,1.0,3.0,3.0,2.0,2.0,The skin color in the graffiti was non-whites.  I thought it was due to the majority of population in this area is blacks.,"It was a residential apartment on the liquor store (where the graffiti in Image#1 was on the wall).  The face of the block is right in front of a wide road (Adeline St.), so I could imagine loud noises will bother residents. ","Inside of the block looked more like residential area (and it was clean), but there was no enough grass between the door and the street of the houses. ",,,10/22/2018 12:36:50,,9.0,"Gas station, Liquor stores or Marijuana Dispensaries"
