Timestamp,Census Tract,"On a scale of 1 - 5, where 1 is ""None"" and 5 is ""A Lot"", how many empty beer or liquor bottles are visible in streets, yards, or alleys? ","On a scale of 1 - 5, where 1 is ""None"" and 5 is ""A Lot"",  how many cigarette or cigar butts or discarded cigarette packages  are on the sidewalk or in the gutters? ","On a scale of 1 - 5, where 1 is ""None"" and 5 is ""A Lot"",  how many condoms are present on the sidewalk, in the gutters, or street of block face? ","On a scale of 1 - 5, where 1 is ""None"" and 5 is ""A Lot"", how much garbage, litter, or broken glass in the street or on the sidewalks? ", Are there abandoned cars in the neighborhood? How many do you see? ,"On a scale of 1-5 where 1 is ""Friendly Responses / Greetings / Helpful"" and 5 is ""Treated with Suspicion"", How were you regarded by the people in the block face?","On a scale of 1 - 4, where 1 is ""Very well kept / good condition"" and 4 is ""Poor / badly deteriorated condition"", in general, how would you rate the condition of buildings on the block face? (includes residential buildings, recreational facilities, manufacturing plants, business / industrial headquarters, etc)","Is there graffiti or evidence of graffiti that has been painted over on buildings, signs, or walls? (Questions 22-23)","On a scale of 1 - 4, where 1 is ""No fencing"" and 4 is ""High mesh fencing with barbed wire or spiked tops"", is there fencing and what kind? (includes all property)",Are any commercial/residential buildings being renovated?,What kinds of establishments are there on the block face? Select all that apply.,"On a scale of 1-3, where 1 is ""Few or none"" and 3 is a ""Most/all of it"", how many trees are linking the street of the block face? ",Is there public transportation available in the block face? ,Are private security guards visible?,Is there a police officer visible? ,Image #1,"Full Address of Block Face in Image #1 (Street Number, Street Name, City, State, Zip Code). E.g.: 2128 Oxford Street, Berkeley, CA, 94704.",Other thoughts or comments for Image #1,Image #2,"Full Address of Block Face in Image #2 (Street Number, Street Name, City, State, Zip Code). E.g.: 2128 Oxford Street, Berkeley, CA, 94704.",Other thoughts or comments for Image #2,Image #3,"Full Address of Block Face in Image #3 (Street Number, Street Name, City, State, Zip Code). E.g.: 2128 Oxford Street, Berkeley, CA, 94704.",Other thoughts or comments for Image #3,Image #4,Other thoughts or comments for Image #4,"Full Address of Block Face in Image #4 (Street Number, Street Name, City, State, Zip Code). E.g.: 2128 Oxford Street, Berkeley, CA, 94704.",Image #5,"Full Address of Block Face in Image #5 (Street Number, Street Name, City, State, Zip Code). E.g.: 2128 Oxford Street, Berkeley, CA, 94704.",Other thoughts or comments for Image #5
10/25/2019 12:52:40,4030,1,2,1,2,0,4,4,Yes,3,Yes,"Bodega deli corner-store convenience store, Eating places/restaurants, Fast food or take-out places",1,No,No,No,https://drive.google.com/open?id=1RmWTmeeYjbIgKaFhrgQE1M6XM1QAjF4_,"601 Webster St, Oakland, CA, 94609 ",This was one of a few stores that were gated up during the day. It did not seem like there were any new businesses opening up. Likely that it had been this way for a while. ,https://drive.google.com/open?id=1PXD3bu_7j2vVDhS7I6HRBacNZzcaWGc1,"601 Webster Street, Oakland, CA, 94609 ",The Salvation Army was closed on this particular day but I’d say it’s nice location to keep a store like this. Accessible to all and well kept from the front. ,https://drive.google.com/open?id=1KY1Mvgc9-eLqvG6KkNwsgc3pmAytZEzT,"601 Webster Street, Oakland, CA, 94609 "," I should have gone in here to try the food, it smelled really good and lets be honest, 4 bowls of noodles for 30 dollars, that is definitely a steal in this economic climate.",https://drive.google.com/open?id=1keCgzxOTujwnZ9EQB4skHb_hBgNAXUkr,"UGS crew --- possibly a gang or street dance team? There were a few stickers posted around the area, most signs had been violated like this. ","601 Webster St, Oakland, CA, 94609",,,
10/25/2019 12:54:25,4205,1,1,1,1,0,1,1,No,1,No,"Banks or credit unions, Community center, Eating places/restaurants, Fast food or take-out places, Gas station, Post office, Supermarkets/grocery stores",3,Yes,No,No,https://drive.google.com/open?id=1stJ2WAm5XvqD1TfKRLmGG_Vbh0Xu5R80,"931 Carmel Ave, Albany, CA, 94706",,https://drive.google.com/open?id=1UlT_fZkGjDLHoV9onuUMU0tK1oq78GhD,"1362 Marin Ave, Albany, CA, 94706",,https://drive.google.com/open?id=1-eg5yVHgMiRtJCpbgZQl8f0tVQqP3ZCR,"1391 Solano Ave, Albany, CA, 94706",,https://drive.google.com/open?id=1mouPFYSJ16OWxgNGtnsb6CGaZAbKD-Oc,,"1391 Solano Ave, Albany, CA, 94706",https://drive.google.com/open?id=1ymFvN6smtsGKB96TLb-1HX0tIRRcEkdO,"708 Solano Ave, Albany, CA, 94706",
10/25/2019 14:32:16,4214,1,1,1,1,0,2,2,No,2,Yes,Schools or daycare centers,3,Yes,No,No,https://drive.google.com/open?id=1kpIEXVR335w3vtrZj0Qxz6ZR8RM6TXvE,"2200 Los Angeles St, Berkeley, CA, 94704",The only house on Los Angeles Street with a single giant redwood tree.,https://drive.google.com/open?id=1zRsqDdsZBeYDSho_EuiZ6GuNrqNAvnSV,"2210 Los Angeles Street, Berkeley, CA, 94704",Another example of a well-maintained house on Los Angeles Street.,https://drive.google.com/open?id=12Fqi0YrnKfV9eqelGoyS__fwQKVQmmTF,"1136 Spruce Street, Berkeley, CA, 94704",One of many houses that’s currently being renovated on west side of Spruce Street.,https://drive.google.com/open?id=189j-3sZAefhs8gH35aEY1RqAa7SoYbxE,"PG&E is currently working on Spruce Street, with many “Road Work” signs throughout.","1128 Spruce Street, Berkeley, CA, 94704",https://drive.google.com/open?id=1Hn70fF7xfZh1IT7oxwUimODXwjGNDb2u,"1133 Spruce Street, Berkeley, CA, 94704",This house is located at the east side of Spruce Street. Notice the current state of disrepair of the garage door.
10/25/2019 15:27:57,4030,1,2,1,3,0,3,2,Yes,1,No,"Banks or credit unions, Eating places/restaurants, Supermarkets/grocery stores",1,No,No,No,https://drive.google.com/open?id=15rdCtKIgX-Fb8WCHI4d8KeQPqscxP7ba,"378 8th Street, Oakland, CA, 94607",,https://drive.google.com/open?id=1hMNbBE8pc9Q82jcr4gK-qnusyglbUG_O,"360 8th Street, Oakland, CA, 94607",,https://drive.google.com/open?id=1ykCymHyvIELaRbnRcrAdp-cl8KPT4pJs,"376 8th Street, Oakland, CA, 94607",,https://drive.google.com/open?id=1rfVrj-7QZkbfUWazVV-P2eK47TVpVZFS,,"800 Franklin Street, Oakland, CA, 94607",,,
10/25/2019 21:24:53,4213,1,1,1,1,0,2,4,No,2,Yes,Professional offices (doctor dentist lawyer accountant real estate),3,Yes,No,No,https://drive.google.com/open?id=1F1B-1oHlh9y6zz-yFxUGUzIX6li1knGo,"1645 Hopkins Street, Berkeley, CA, 94707","Unfortunately, this building was at the end of the walk-through for my chosen block, and I didn't have time to check if the door was unlocked, or if it was for employees of the attached commercial building only.",https://drive.google.com/open?id=1ycZ91fitTHwhiVOyESVoJoaTTKy8KQy9,"1226 Carlotta Avenue, Berkeley, CA, 94707","For the stretch from the intersection of Carlotta Ave. and Posen Ave, there was a slight change in the conditions of yards and front stoops, that I tried to capture here.",https://drive.google.com/open?id=1S_BJ03A64lP9Q2pV34bY8z9AtWymfmZ4,"1647 Hopkins Street, Berkeley, CA, 94707",,https://drive.google.com/open?id=1a4rgJSw2qIMk130GvsH4d0dh44SqiNhK,"I felt that this residence was fairly representative of the way many of the homes were decorated, featuring pottery, a small mosaic, and many other decorative plants in addition to those planted in the front lawn. (Also, the door to this house was open, but no one came out to ask why I was taking pictures of their home, and it seemed pretty quiet)","1288 Carlotta Avenue, Berkeley, CA, 94707",https://drive.google.com/open?id=1clCPXj-QBzMpU4eDkE_LB4f8eZaaVPrU,"1611 Hopkins Street, Berkeley, CA, 94707","This building had a mattress leaning on one of the outside walls, which seemed out-of-place for the neighborhood, and it had construction materials visible from the front window. "
10/25/2019 23:03:39,4031,2,2,1,1,0,1,1,No,2,Yes,"Banks or credit unions, Parks",2,Yes,Yes,No,https://drive.google.com/open?id=1jTqjCT4AEaL-LNeKRBNX-BuIr1HoxA__,"500 12th St, Oakland, CA, 94606",cranes are seen in the construction site,https://drive.google.com/open?id=1tknAa0U7j1sj7kUPWF0sVWLkqLwaIxnS,"500 12th Street, Oakland, CA, 94607",the construction site can be viewed at a distance,https://drive.google.com/open?id=1MeVwSFsg-lvgjGlYQp3JzlzdxBkjrGgC,"500 12th Street, Oakland, 94607",there are high-rise buildings,https://drive.google.com/open?id=1H0fQ0GEPyIJAwAVCsZgT3lJvcwl9FfDW,residential building spotted at the end of the street,"500 12th Street, Oakland, CA, 94607",https://drive.google.com/open?id=1SZ5-zcebHjToAZHZ5zCnylZAm7Iokq90,"500 12th Street, Oakland, CA, 94612",public transportation occurs on the streets
10/26/2019 0:34:04,4217,1,1,1,1,0,1,2,No,1,No,N/A,3,Yes,No,No,https://drive.google.com/open?id=1oPhaX33XMO42n18WJd6kA9yP0gFJDUQF,"1427 Bonita Ave, Berkeley, CA, 94709",Most houses in this block seemed to be well maintained. I could see a lot of trees. I thought this neighborhood looked quite and safe. ,https://drive.google.com/open?id=1eDMBkGDjCPHZ5MFp3sTAPBKmz6Ycgta2,"1941 Vine St, Berkeley, CA, 94709",There were only residential houses most of which seemed to be single occupancy dwelling houses and to be relatively big. ,https://drive.google.com/open?id=1gjyUrUR4LpC414ZZ7NuM8xX3dvUBM8Xo,"1950 Rose St, Berkeley, CA, 94709","Almost houses in this block seemed to be single occupancy houses. But this building in the picture 3, looked like the only apartment building in this block.  ",,,,,,
10/26/2019 16:01:12,4229,1,2,1,1,0,2,2,Yes,1,No,"Banks or credit unions, Bars and alcoholic beverage services, Chain retail stores, Eating places/restaurants, Fast food or take-out places",2,Yes,No,Yes,https://drive.google.com/open?id=1IVWnm4AEhdL2PQ_LwC5h_AXRXciy1TlW,"2168 Shattuck Ave, Berkeley, CA, 94704","Shattuck Ave is the main street that leads to the Bart stations. Thus, it is the epicenter for students to commute from SF and back. Therefore, Shattuck has a higher concentration of people and traffic.",https://drive.google.com/open?id=1Ke_kilBD-OssKOUe1rnm1Le2DkoNYzOk,"2168 Shattuck Ave, Berkeley, CA, 94704",The stores on Shattuck seem to provide the basic necessities for it’s local residents. Having a mix of restaurant and retail stores is representative of a busy downtown area. ,https://drive.google.com/open?id=17OpvWxzyTwUj8L3j8kstGlRUILNQbAsx,"2168 Shattuck Ave, Berkeley, CA, 94704",The setting area on Shattuck creates a communal space for people to congregate and enjoy the downtown environment. Many people tend to lounge on the chairs and work on there homework or eat. ,,,,,,
10/26/2019 17:01:54,4030,1,4,1,4,0,3,3,Yes,3,No,"Banks or credit unions, Eating places/restaurants, Supermarkets/grocery stores",1,No,No,Yes,https://drive.google.com/open?id=1-mNAKJauOKW-_yHx2G_XfHdaoN9jVLzV,"401 8th Street, Oakland, CA, 94607",Shows how desolate the street is at 6 pm on a weekday. ,https://drive.google.com/open?id=1AuZKog1FZ-HPrK-XL7waH9CDEcYDR7eI,"401 8th Street, Oakland, CA, 94607",Shows the how little car traffic there is at 6 pm on a weekday.,https://drive.google.com/open?id=1gslhC4dwgtmLjsgwZv-17wnYQYt1Ajz3,"401 8th Street, Oakland, CA, 94607",Shows the how few people there are at 6 pm on a weekday. ,https://drive.google.com/open?id=1G9DsHMrPt_-lWjgbeKH9KX8GO62lsf_N,Shows the how few people there are at 6 pm on a weekday. ,"401 8th Street, Oakland, CA, 94607
",https://drive.google.com/open?id=14kvULrBwKjxt5keqhT1w9CXYQBY8Ss1e,"401 8th Street, Oakland, CA, 94607","Shows how little traffic there is, how few people there are, and the graffiti and boarded up businesses. "
10/26/2019 18:06:03,4027,1,4,1,3,0,2,2,Yes,3,Yes,N/A,1,No,No,No,https://drive.google.com/open?id=1OrbPqMGUWJPh5pRMN-kDxmdQNuI9a_ya,"830 22nd Street, Oakland, CA, 94607","This church is one of many in the census tract. If you look closely to the side of the entrance, you can see where graffiti had been recently covered up.",https://drive.google.com/open?id=1f6S-u47R7enVccbxW4k7bcWiiPtClPv8,"2201 West Street, Oakland, CA, 94607","Pictured above are nicely renovated apartments. This space appears to have been an industrial unit in the past. This area of the block had the most trees and no visible trash on the sidewalks or curbs. If you look next to the far right door in the photo, you can see where graffiti had been recently covered up. This property is located on the corner of 22nd St. and West St. and is one of the nicest buildings in the area.",https://drive.google.com/open?id=13Flo4PoDbdTGGROuzDUr-NQS-eM02yIX,"811 22nd Street, Oakland, CA, 94607",On this side of the street the buildings were not well kept and many had security bars on the doors and windows. Here is an example of the trash that was located on the sidewalk and curb.,https://drive.google.com/open?id=1vzkXSfz2M6DcwH4lIFnr-oqouKLMJT6-,This house appeared to be vacant and under construction. There were trash and debris build-up in the yard. This property is located on the corner of 22nd St and Curtis St.,"2132 Curtis Street, Oakland, CA, 94607",https://drive.google.com/open?id=1bh8GKTVpA1UpW2T9aldUqr2riqePh_gC,"787 22nd Street, Oakland, CA, 94607","This photo was taken at the beginning of the block at 22nd and West. As seen in this photo, the street condition is moderately good overall. In contrast, many of the other streets in the census tract were in fair or poor condition."
