Unnamed: 0.1,Timestamp,Census Tract,Amount of Visible Empty Liquor Bottles [Scale: 1 (None) to 5 (A Lot)],Amount of Visible Cigarette Debris [Scale: 1 (None) to 5 (A Lot)],Amount of Visible Condoms [Scale: 1 (None) to 5 (A Lot)],Amount of Visible Trash [Scale: 1 (None) to 5 (A Lot)], Are there abandoned cars in the neighborhood? How many do you see? ,Attitude of Residents [Scale: 1 (Friendly and Helpful) to 5 (Suspicious)],Condition of Buildings [Scale: 1 (Well Kept) to 4 (Poor)],"Is there graffiti or evidence of graffiti that has been painted over on buildings, signs, or walls? (Questions 22-23)",Presence of Fencing [Scale: 1 (No fencing) to 4 (High mesh with barbed wire or spiked tops)],Are any commercial/residential buildings being renovated?,What kinds of establishments are there on the block face? Select all that apply.,Amount of street linked with trees [Scale: 1 (None or Few) to 3 (Most or All)],Is there public transportation available in the block face? ,Are private security guards visible?,Is there a police officer visible? ,Image #1,"Full Address of Block Face in Image #1 (Street Number, Street Name, City, State, Zip Code). E.g.: 2128 Oxford Street, Berkeley, CA, 94704.",Image #3 coordinates,Image #4 coordinates,Image #5 coordinates
1,2018-10-21 22:08:57,4028.0,1.0,3.0,1.0,3.0,0.0,2.0,2.0,1,2.0,0,"Eating places/restaurants, Professional offices (doctor dentist lawyer accountant real estate)",2.0,0,0,0,https://drive.google.com/open?id=1F2vSKuf4hRQz4j6AJqv4s5zm1O4FvM13,"1633 San Pablo Ave, Oakland, CA","(37.8087183, -122.2715003)",,
2,2018-10-21 22:10:14,4229.0,2.0,2.0,1.0,2.0,0.0,4.0,2.0,1,2.0,1,"Eating places/restaurants, Professional offices (doctor dentist lawyer accountant real estate)",2.0,1,0,0,https://drive.google.com/open?id=1t7Cm2UkrM467FxsdfYNLc980RShLq1J2,"2150 Channing Way, Berkeley, CA, 94704","[37.8666288180719, -122.265876910725]","(37.8678899, -122.269247)","[37.866019739311, -122.266542125136]"
3,2018-10-21 22:23:08,4006.0,1.0,1.0,1.0,2.0,0.0,4.0,2.0,1,2.0,0,Liquor stores or Marijuana Dispensaries,2.0,1,0,1,https://drive.google.com/open?id=1K2U0ccdwjWB5MMC9bbNyA0bJlCxCE7UB,5634 Shattuck Ave. ,"[35.130098959596, -119.460902121212]",,
4,2018-10-22 00:01:58,4224.0,3.0,2.0,1.0,3.0,1.0,3.0,2.0,0,3.0,1,"Bars and alcoholic beverage services, Eating places/restaurants, Fast food or take-out places, Liquor stores or Marijuana Dispensaries, Warehouses",2.0,1,0,0,https://drive.google.com/open?id=1bC5tf0RrhU8ucWutTbwSA8Cbs91ePyhx,"2067 University Ave, Berkeley, CA, 94704.","[37.8728409227947, -122.270248811613]","[37.8726479989409, -122.2704598844]","[37.8728723, -122.2704417]"
5,2018-10-22 00:08:49,4031.0,1.0,3.0,1.0,3.0,0.0,2.0,2.0,1,1.0,0,"Bodega deli corner-store convenience store, Eating places/restaurants, Payday lenders check cashers or pawn shops, Supermarkets/grocery stores",1.0,0,0,0,https://drive.google.com/open?id=1DAEeW4g8askpmgbaR8JXlkYzaij7yJQK,"535 8th St, Oakland, CA, 94607","[37.8009167156494, -122.275402395618]","[37.801272625156, -122.276025874901]","[37.8008494265101, -122.275235462283]"
6,2018-10-22 00:09:49,4239.01,1.0,1.0,1.0,3.0,0.0,2.0,2.0,0,1.0,1,"Bars and alcoholic beverage services, Professional offices (doctor dentist lawyer accountant real estate)",2.0,1,1,0,https://drive.google.com/open?id=1J7FBN9UWvZIhi2aFFG18yyqbJgDqFozu,"3033 Shattuck Ave, Berkeley, CA 94705","[37.8536181290323, -122.266159419355]","[37.8541573333333, -122.266228]","[37.8537052419355, -122.26617166129]"
7,2018-10-22 10:52:35,4027.0,4.0,4.0,2.0,4.0,1.0,4.0,4.0,1,4.0,0,"Bars and alcoholic beverage services, Bodega deli corner-store convenience store, Liquor stores or Marijuana Dispensaries, Manufacturing, Warehouses",2.0,1,0,0,https://drive.google.com/open?id=1E4SxFgUUjtaRxjKp01bKNctUwvI2GfOf,"2174 Brush St  Oakland, California  94612","[37.8121013877551, -122.275144755102]","[37.8121013877551, -122.275144755102]","[37.8121013877551, -122.275144755102]"
8,2018-10-22 12:00:25,4014.0,1.0,2.0,1.0,4.0,1.0,3.0,3.0,1,3.0,1,"Community center, Playgrounds",1.0,1,0,1,https://drive.google.com/open?id=15opG7RDvlqB_NgV3lwquv96t5rMeYY9m,"3236 Market St, Oakland, CA 94608","[37.8227030918367, -122.27581044898]","[37.8227030918367, -122.27581044898]","[37.8225462040816, -122.27585177551]"
9,2018-10-22 12:36:50,4239.01,3.0,1.0,1.0,3.0,0.0,2.0,2.0,1,2.0,0,"Gas station, Liquor stores or Marijuana Dispensaries",2.0,1,0,0,https://drive.google.com/open?id=1yW4Qijl3MLszoxDCzQLBxbjRsgAwunAB,"2001 Emerson St Berkeley, CA 94703","[37.854305, -122.269028]",,
10,2018-10-22 13:49:40,4239.01,1.0,2.0,1.0,2.0,0.0,2.0,2.0,1,2.0,0,,3.0,0,0,0,https://drive.google.com/open?id=1GK9JXOqR5XURyC-dLRk2L3QKB9U4k0ON,,"(37.8523001, -122.2675177)","[37.8522002682914, -122.266952668302]",
