Image #1,Image #1 Address,Other thoughts or comments for Image #1,Image #2,Image #2 Address,Other thoughts or comments for Image #2,Image #3,Image #3 Address,Other thoughts or comments for Image #3,Image #4,Other thoughts or comments for Image #4,Image #4 Address,Image #5,Image #5 Address,Other thoughts or comments for Image #5,Image #1 coordinates,Image #2 coordinates,Image #3 coordinates,Image #4 coordinates,Image #5 coordinates,Census Tract
https://drive.google.com/open?id=1RmWTmeeYjbIgKaFhrgQE1M6XM1QAjF4_,"601 Webster St, Oakland, CA, 94609 ",This was one of a few stores that were gated up during the day. It did not seem like there were any new businesses opening up. Likely that it had been this way for a while. ,https://drive.google.com/open?id=1PXD3bu_7j2vVDhS7I6HRBacNZzcaWGc1,"601 Webster Street, Oakland, CA, 94609 ",The Salvation Army was closed on this particular day but I’d say it’s nice location to keep a store like this. Accessible to all and well kept from the front. ,https://drive.google.com/open?id=1KY1Mvgc9-eLqvG6KkNwsgc3pmAytZEzT,"601 Webster Street, Oakland, CA, 94609 "," I should have gone in here to try the food, it smelled really good and lets be honest, 4 bowls of noodles for 30 dollars, that is definitely a steal in this economic climate.",https://drive.google.com/open?id=1keCgzxOTujwnZ9EQB4skHb_hBgNAXUkr,"UGS crew --- possibly a gang or street dance team? There were a few stickers posted around the area, most signs had been violated like this. ","601 Webster St, Oakland, CA, 94609",,,,"[37.798025, -122.272283]","[37.798025, -122.272283]","[37.798025, -122.272283]","[37.798025, -122.272283]",NaN,4030
https://drive.google.com/open?id=1stJ2WAm5XvqD1TfKRLmGG_Vbh0Xu5R80,"931 Carmel Ave, Albany, CA, 94706",,https://drive.google.com/open?id=1UlT_fZkGjDLHoV9onuUMU0tK1oq78GhD,"1362 Marin Ave, Albany, CA , 94706",,https://drive.google.com/open?id=1-eg5yVHgMiRtJCpbgZQl8f0tVQqP3ZCR,"1391 Solano Ave, Albany, CA, 94706",,https://drive.google.com/open?id=1mouPFYSJ16OWxgNGtnsb6CGaZAbKD-Oc,,"1391 Solano Ave, Albany, CA, 94706",https://drive.google.com/open?id=1ymFvN6smtsGKB96TLb-1HX0tIRRcEkdO,"708 Solano Ave, Albany, CA, 94706",,"[37.8899946030529, -122.289521691888]","[37.8883455055134, -122.288877697661]","[37.8908002222222, -122.290461888889]","[37.8908002222222, -122.290461888889]","[37.888633027305, -122.307014522052]",4205
https://drive.google.com/open?id=1kpIEXVR335w3vtrZj0Qxz6ZR8RM6TXvE,"2200 Los Angeles St, Berkeley, CA, 94704",The only house on Los Angeles Street with a single giant redwood tree.,https://drive.google.com/open?id=1zRsqDdsZBeYDSho_EuiZ6GuNrqNAvnSV,"2210 Los Angeles Street, Berkeley, CA, 94704",Another example of a well-maintained house on Los Angeles Street.,https://drive.google.com/open?id=12Fqi0YrnKfV9eqelGoyS__fwQKVQmmTF,"1136 Spruce Street, Berkeley, CA, 94704",One of many houses that’s currently being renovated on west side of Spruce Street.,https://drive.google.com/open?id=189j-3sZAefhs8gH35aEY1RqAa7SoYbxE,"PG&E is currently working on Spruce Street, with many “Road Work” signs throughout.","1128 Spruce Street, Berkeley, CA, 94704",https://drive.google.com/open?id=1Hn70fF7xfZh1IT7oxwUimODXwjGNDb2u,"1133 Spruce Street, Berkeley, CA, 94704",This house is located at the east side of Spruce Street. Notice the current state of disrepair of the garage door.,"(37.8883409, -122.270922)","(37.8883409, -122.270922)","[37.8876024042097, -122.266919689902]","[37.8877886656757, -122.266948315416]","[37.8879082848895, -122.26673971951]",4214
https://drive.google.com/open?id=15rdCtKIgX-Fb8WCHI4d8KeQPqscxP7ba,"378 8th Street, Oakland, CA, 94607",,https://drive.google.com/open?id=1hMNbBE8pc9Q82jcr4gK-qnusyglbUG_O,"360 8th Street, Oakland, CA, 94607",,https://drive.google.com/open?id=1ykCymHyvIELaRbnRcrAdp-cl8KPT4pJs,"376 8th Street, Oakland, CA, 94607",,https://drive.google.com/open?id=1rfVrj-7QZkbfUWazVV-P2eK47TVpVZFS,,"800 Franklin Street, Oakland, CA, 94607",,,,"[37.7995886695836, -122.272012934734]","[37.7994604111548, -122.27167993785]","[37.8020326, -122.2784424]","[37.799789, -122.272409]",NaN,4030
https://drive.google.com/open?id=1F1B-1oHlh9y6zz-yFxUGUzIX6li1knGo,"1645 Hopkins Street, Berkeley, CA, 94707","Unfortunately, this building was at the end of the walk-through for my chosen block, and I didn't have time to check if the door was unlocked, or if it was for employees of the attached commercial building only.",https://drive.google.com/open?id=1ycZ91fitTHwhiVOyESVoJoaTTKy8KQy9,"1226 Carlotta Avenue, Berkeley, CA, 94707","For the stretch from the intersection of Carlotta Ave. and Posen Ave, there was a slight change in the conditions of yards and front stoops, that I tried to capture here.",https://drive.google.com/open?id=1S_BJ03A64lP9Q2pV34bY8z9AtWymfmZ4,"1647 Hopkins Street, Berkeley, CA, 94707",,https://drive.google.com/open?id=1a4rgJSw2qIMk130GvsH4d0dh44SqiNhK,"I felt that this residence was fairly representative of the way many of the homes were decorated, featuring pottery, a small mosaic, and many other decorative plants in addition to those planted in the front lawn. (Also, the door to this house was open, but no one came out to ask why I was taking pictures of their home, and it seemed pretty quiet)","1288 Carlotta Avenue, Berkeley, CA, 94707",https://drive.google.com/open?id=1clCPXj-QBzMpU4eDkE_LB4f8eZaaVPrU,"1611 Hopkins Street, Berkeley, CA, 94707","This building had a mattress leaning on one of the outside walls, which seemed out-of-place for the neighborhood, and it had construction materials visible from the front window. ","[37.88256465, -122.28065260328]","[37.8839914809146, -122.28048481675]","[37.8824167547207, -122.280525537024]","[37.8826557841063, -122.280673827285]","[37.8822196, -122.281236836644]",4213
https://drive.google.com/open?id=1jTqjCT4AEaL-LNeKRBNX-BuIr1HoxA__,"500 12th St, Oakland, CA, 94606",cranes are seen in the construction site,https://drive.google.com/open?id=1tknAa0U7j1sj7kUPWF0sVWLkqLwaIxnS,"500 12th Street, Oakland, CA, 94607",the construction site can be viewed at a distance,https://drive.google.com/open?id=1MeVwSFsg-lvgjGlYQp3JzlzdxBkjrGgC,"500 12th Street, Oakland, 94607",there are high-rise buildings,https://drive.google.com/open?id=1H0fQ0GEPyIJAwAVCsZgT3lJvcwl9FfDW,residential building spotted at the end of the street,"500 12th Street, Oakland, CA, 94607",https://drive.google.com/open?id=1SZ5-zcebHjToAZHZ5zCnylZAm7Iokq90,"500 12th Street, Oakland, CA, 94612",public transportation occurs on the streets,"[37.80391, -122.274309]","[37.80391, -122.274309]","[37.80391, -122.274309]","[37.80391, -122.274309]","[37.80391, -122.274309]",4031
https://drive.google.com/open?id=1oPhaX33XMO42n18WJd6kA9yP0gFJDUQF,"1427 Bonita Ave, Berkeley, CA, 94709",Most houses in this block seemed to be well maintained. I could see a lot of trees. I thought this neighborhood looked quite and safe. ,https://drive.google.com/open?id=1eDMBkGDjCPHZ5MFp3sTAPBKmz6Ycgta2,"1941 Vine St, Berkeley, CA, 94709",There were only residential houses most of which seemed to be single occupancy dwelling houses and to be relatively big. ,https://drive.google.com/open?id=1gjyUrUR4LpC414ZZ7NuM8xX3dvUBM8Xo,"1950 Rose St, Berkeley, CA, 94709","Almost houses in this block seemed to be single occupancy houses. But this building in the picture 3, looked like the only apartment building in this block.  ",,,,,,,"[37.8805076213145, -122.272610224993]","[37.8800527, -122.2718156]","[37.8815777, -122.2721453]",NaN,NaN,4217
https://drive.google.com/open?id=1IVWnm4AEhdL2PQ_LwC5h_AXRXciy1TlW,"2168 Shattuck Ave, Berkeley, CA, 94704","Shattuck Ave is the main street that leads to the Bart stations. Thus, it is the epicenter for students to commute from SF and back. Therefore, Shattuck has a higher concentration of people and traffic.",https://drive.google.com/open?id=1Ke_kilBD-OssKOUe1rnm1Le2DkoNYzOk,"2168 Shattuck Ave, Berkeley, CA, 94704",The stores on Shattuck seem to provide the basic necessities for it’s local residents. Having a mix of restaurant and retail stores is representative of a busy downtown area. ,https://drive.google.com/open?id=17OpvWxzyTwUj8L3j8kstGlRUILNQbAsx,"2168 Shattuck Ave, Berkeley, CA, 94704",The setting area on Shattuck creates a communal space for people to congregate and enjoy the downtown environment. Many people tend to lounge on the chairs and work on there homework or eat. ,,,,,,,"[37.8698275413618, -122.268113189126]","[37.8698275413618, -122.268113189126]","[37.8698275413618, -122.268113189126]",NaN,NaN,4229
https://drive.google.com/open?id=1-mNAKJauOKW-_yHx2G_XfHdaoN9jVLzV,"401 8th Street, Oakland, CA, 94607",Shows how desolate the street is at 6 pm on a weekday. ,https://drive.google.com/open?id=1AuZKog1FZ-HPrK-XL7waH9CDEcYDR7eI,"401 8th Street, Oakland, CA, 94607",Shows the how little car traffic there is at 6 pm on a weekday.,https://drive.google.com/open?id=1gslhC4dwgtmLjsgwZv-17wnYQYt1Ajz3,"401 8th Street, Oakland, CA, 94607",Shows the how few people there are at 6 pm on a weekday. ,https://drive.google.com/open?id=1G9DsHMrPt_-lWjgbeKH9KX8GO62lsf_N,Shows the how few people there are at 6 pm on a weekday. ,"401 8th Street, Oakland, CA, 94607
",https://drive.google.com/open?id=14kvULrBwKjxt5keqhT1w9CXYQBY8Ss1e,"401 8th Street, Oakland, CA, 94607","Shows how little traffic there is, how few people there are, and the graffiti and boarded up businesses. ","[37.799693, -122.272755]","[37.799693, -122.272755]","[37.799693, -122.272755]","[37.799693, -122.272755]","[37.799693, -122.272755]",4030
https://drive.google.com/open?id=1OrbPqMGUWJPh5pRMN-kDxmdQNuI9a_ya,"830 22nd Street, Oakland, CA, 94607","This church is one of many in the census tract. If you look closely to the side of the entrance, you can see where graffiti had been recently covered up.",https://drive.google.com/open?id=1f6S-u47R7enVccbxW4k7bcWiiPtClPv8,"2201 West Street, Oakland, CA, 94607","Pictured above are nicely renovated apartments. This space appears to have been an industrial unit in the past. This area of the block had the most trees and no visible trash on the sidewalks or curbs. If you look next to the far right door in the photo, you can see where graffiti had been recently covered up. This property is located on the corner of 22nd St. and West St. and is one of the nicest buildings in the area.",https://drive.google.com/open?id=13Flo4PoDbdTGGROuzDUr-NQS-eM02yIX,"811 22nd Street, Oakland, CA, 94607",On this side of the street the buildings were not well kept and many had security bars on the doors and windows. Here is an example of the trash that was located on the sidewalk and curb.,https://drive.google.com/open?id=1vzkXSfz2M6DcwH4lIFnr-oqouKLMJT6-,This house appeared to be vacant and under construction. There were trash and debris build-up in the yard. This property is located on the corner of 22nd St and Curtis St.,"2132 Curtis Street, Oakland, CA, 94607.",https://drive.google.com/open?id=1bh8GKTVpA1UpW2T9aldUqr2riqePh_gC,"787 22nd Street, Oakland, CA, 94607","This photo was taken at the beginning of the block at 22nd and West. As seen in this photo, the street condition is moderately good overall. In contrast, many of the other streets in the census tract were in fair or poor condition.","[37.8131593418652, -122.276927949694]","[37.812957, -122.276298]","[37.8128709676448, -122.276663964711]","[37.8128364790637, -122.277603932276]","[37.8126366151659, -122.2760735952]",4027
https://drive.google.com/open?id=1mMiD8_ktiYu-KHYI9sqozT_quYX_1KjW,,"This image captures many of the elements I observed throughout the block: busy two-way traffic, cars lining the sidewalk, several trees, graffiti on the sides of buildings, and high chain-link fences around empty undeveloped lots.",https://drive.google.com/open?id=1p5N5BIBEmd_uftsDmEGzkWt7ew8KYRSz,,"Toward the end of the block, closest to the freeway overpass there were signs of homelessness indicated by the piles of possessions and tent. I was surprised by the proximity of this encampment to the local businesses and parked cars just a few feet away.",https://drive.google.com/open?id=14ID5iANXKjxevY86QEu8V2JQM1uizONk,,This image is an example of the cigarettes that were almost everywhere that a pedestrian would step along the sidewalk. Along with the cigarettes is a beer can and other discarded trash.,https://drive.google.com/open?id=1rHk_3VP-q7B3jUXTqet5lGYqBlkElzqm,"This is another example of the many cigarettes littered along the sidewalk, especially in the cracks or uneven parts of the pavement which were overgrown with weeds.",,https://drive.google.com/open?id=1cI_CXgXjCJZj2hcNQCA7TGLzCZ5pOHop,,"This mural was particularly striking to me because the intricate detail and use of vivid color stood out among an otherwise colorless landscape of brick and cement buildings. The images and words also seem to hold many references to cultural pride, which provides a positive message for the community to see.","(37.831217, -122.2719625)","(37.831217, -122.2719625)","(37.831217, -122.2719625)","(37.831217, -122.2719625)","(37.831217, -122.2719625)",4010
https://drive.google.com/open?id=1xY7v-XUgcBThCLJTyIYiFdTRBdPsTfet,"1113 Jackson Street, Albany, CA, 94706","This photo shows a map of University Village. I found this to be very interesting as even gated communities do not usually have maps placed on-site. This also gives a holistic view of the area and how the block of focus - Jackson Street, between Ohlone Avenue and Buchanan Street - fits into the greater University Village community. The exact location of this map is depicted by the red star and “you are here”. I wonder if these maps are placed at all entry points to University Village, or if this is the only map location.",https://drive.google.com/open?id=1sOPErKm2nNT__MVRtdeWnKV5jMysTRd-,"1119 Jackson Street, Albany, CA, 94706","This is an image of the sign mentioned in the written description section of this fieldwork report. It is located on the chainlink fence surrounding the open field/cornfield. It is at the corner of Jackson Street and Ohlone Avenue. This sign struck me for two reasons. First, the field is completely empty except for the corn, and the corn is only about ⅓ of the field maximum. I found the use of the word “farm” for an empty field to be peculiar. This is what prompted me to consider that perhaps the field is not usually empty, but that this is a result of the construction in the area. Second, having a community farm speaks to a strong sense of community and comradery in University Village that is not present in every neighborhood.",https://drive.google.com/open?id=1F00tMZVTHRD_FKxI5jyaXd4sA1A1SxIj,"1000 Jackson Street, Albany, CA, 94706","This is a picture of the front entrance to Ocean View Elementary School. There are a few things about this image that caught my eye. First, there is an anti-bullying sign, instilling strong values in its students, neighborhood residents, and anyone that chooses to visit the school. Second, there is a banner for a Fall Festival, which seems to be a community event and potentially a fundraiser. Furthermore, there are “no trespassing” signs posted and instructions that any visitors must report to the front office. Lastly, this image shows the barred gate mentioned in the written description section of this report. Further research would need to be conducted to uncover the reasoning for this gate. Is it common at elementary schools regardless of location? Is it a security measure used during school hours or just for after-hours?",,,,,,,"[37.886356295627, -122.300417132958]","[37.8862924193934, -122.300395757611]","[37.88751, -122.301014]",NaN,NaN,4204
https://drive.google.com/open?id=10xX33aDtREv2Mzym431F6A3Tq68zfvq2,"756 21st Street, Oakland, CA, 94612",A modest YMCA center. Not open on Saturday though.,https://drive.google.com/open?id=1NgTck0iwFG5JiWCcpFJ8MNkqAqHWZr6c,"756 21st Street, Oakland, CA, 94612","An poster of ""Rock the Ship Festival,"" which sounds very subcultural!",https://drive.google.com/open?id=1NTh-_xJHaofFf9aO_g20HXBLX07lmkqT,"786 21st Street, Oakland, CA, 94612",An innovative way of consolidating fences by employing mechanics.,https://drive.google.com/open?id=1lXRWcLEuQM96j3eVK1OzTb4kKJR1nYbD,Some graffiti on the electricity meter.,"786 21st Street, Oakland, CA, 94612",https://drive.google.com/open?id=1_EeKzCIKBNMpcjYSNuPEtgV3PChZi6-m,"787 22nd Street, Oakland, CA, 94612",An apartment old that looks old. The paint on the wall has flaked.,"[37.812056, -122.276109428571]","[37.812056, -122.276109428571]","[37.8121524285714, -122.27638555102]","[37.8121524285714, -122.27638555102]","[37.8126366151659, -122.2760735952]",4027
